TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Cluster,Category
14.09,70,81,1,5112.21,Debit,San Diego,ATM,Doctor,0,Transaksi Normal
376.24,68,141,1,13758.91,Debit,Houston,ATM,Doctor,0,Transaksi Normal
126.29,19,56,1,1122.35,Debit,Mesa,Online,Student,0,Transaksi Normal
184.5,26,25,1,8569.06,Debit,Raleigh,Online,Student,0,Transaksi Normal
13.45,26,198,1,7429.4,Credit,Atlanta,Online,Student,1,Transaksi Abnormal
92.15,18,172,1,781.68,Debit,Oklahoma City,ATM,Student,0,Transaksi Normal
7.08,37,139,1,13316.71,Credit,Seattle,ATM,Doctor,1,Transaksi Abnormal
171.42,67,291,1,2796.24,Credit,Indianapolis,Branch,Retired,1,Transaksi Abnormal
106.23,51,86,1,9095.14,Credit,Detroit,Branch,Engineer,1,Transaksi Abnormal
815.96,55,120,1,1021.88,Debit,Nashville,ATM,Doctor,0,Transaksi Normal
17.78,52,59,1,7599.52,Credit,Albuquerque,Online,Engineer,1,Transaksi Abnormal
190.02,21,173,1,1528.81,Debit,Memphis,Online,Student,0,Transaksi Normal
494.52,24,111,1,1620.02,Credit,Mesa,Branch,Student,1,Transaksi Abnormal
781.76,26,123,1,189.69,Debit,Memphis,ATM,Student,0,Transaksi Normal
166.99,18,134,1,299.93,Debit,Louisville,Online,Student,0,Transaksi Normal
465.45,36,129,1,3465.54,Debit,Denver,ATM,Engineer,0,Transaksi Normal
555.8,19,158,1,1131.26,Credit,Austin,Branch,Student,1,Transaksi Abnormal
492.93,39,234,1,5109.97,Debit,Columbus,Online,Engineer,0,Transaksi Normal
18.68,59,106,1,7948.37,Credit,Albuquerque,Branch,Retired,1,Transaksi Abnormal
71.48,18,169,1,6568.59,Credit,Columbus,Online,Student,1,Transaksi Abnormal
59.32,71,38,1,5750.89,Debit,Los Angeles,Branch,Retired,0,Transaksi Normal
85.77,38,93,1,9146.19,Debit,Las Vegas,Branch,Doctor,0,Transaksi Normal
