lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,roll_no,gender,race_ethnicity,parental_level_of_education,Cluster
1,1,89,38,85,26,238,std-01,male,group D,some college,4
1,0,65,100,67,96,328,std-02,male,group B,high school,0
1,0,10,99,97,58,264,std-03,male,group C,master's degree,2
1,1,22,51,41,84,198,std-04,male,group D,some college,4
0,1,26,58,64,65,213,std-05,male,group C,some college,2
1,0,40,49,69,48,206,std-06,male,group B,high school,0
1,1,25,80,34,17,156,std-08,male,group B,associate's degree,0
0,0,35,70,87,91,283,std-17,male,group E,some high school,0
1,1,39,71,49,78,237,std-23,male,group B,bachelor's degree,0
0,0,47,49,98,46,240,std-28,male,group B,high school,0
0,0,37,57,57,82,233,std-29,male,group D,associate's degree,4
0,1,49,54,61,78,242,std-30,male,group E,high school,0
1,1,72,89,64,81,306,std-31,male,group E,some high school,0
0,0,11,67,60,31,169,std-33,male,group C,associate's degree,2
1,1,41,77,97,65,280,std-34,male,group A,some college,0
1,0,32,71,74,70,247,std-35,male,group C,associate's degree,2
1,0,85,76,74,57,292,std-36,male,group A,some college,0
1,0,78,82,52,71,283,std-37,male,group C,some high school,2
0,0,68,66,86,99,319,std-39,male,group D,high school,4
0,0,38,90,53,60,241,std-48,male,group C,high school,2
0,0,69,98,98,46,311,std-49,male,group D,some high school,4
0,0,87,63,48,55,253,std-50,male,group E,high school,0
0,1,42,64,57,94,257,std-52,male,group D,associate's degree,4
1,0,51,73,100,60,284,std-60,male,group D,some high school,4
1,0,32,100,77,61,270,std-61,male,group D,some high school,4
1,0,75,86,73,79,313,std-62,male,group B,some high school,0
0,1,60,53,82,71,266,std-63,male,group B,associate's degree,0
1,0,20,76,63,71,230,std-64,male,group D,some college,4
1,1,85,82,80,72,319,std-65,male,group B,bachelor's degree,0
1,0,81,88,100,100,369,std-66,male,group D,associate's degree,4
1,0,98,40,32,51,221,std-67,male,group A,associate's degree,0
1,1,72,90,61,65,288,std-68,male,group C,master's degree,2
1,0,83,89,56,74,302,std-69,male,group C,master's degree,2
